date,value
1984-01-01,135522.619
1984-04-01,144031.818
1984-07-01,147400.101
1984-10-01,143709.982
1985-01-01,144327.139
1985-04-01,136429.06
1985-07-01,145499.492
1985-10-01,144997.028
1986-01-01,163369.331
1986-04-01,189291.267
1986-07-01,213667.63
1986-10-01,237029.941
1987-01-01,260637.227
1987-04-01,283396.521
1987-07-01,301878.505
1987-10-01,324255.126
1988-01-01,324483.736
1988-04-01,340939.147
1988-07-01,348392.275
1988-10-01,357381.072
1989-01-01,356823.52
1989-04-01,363175.837
1989-07-01,353615.902
1989-10-01,343995.805
1990-01-01,365197.476
1990-04-01,372180.972
1990-07-01,386325.573
1990-10-01,398403.716
1991-01-01,433685.61
1991-04-01,435892.652
1991-07-01,444940.953
1991-10-01,456629.955
1992-01-01,468093.32
1992-04-01,473817.355
1992-07-01,486559.482
1992-10-01,490796.253
1993-01-01,511763.858
1993-04-01,522424.474
1993-07-01,528192.719
1993-10-01,535424.654
1994-01-01,538059.115
1994-04-01,545348.307
1994-07-01,547328.915
1994-10-01,541195.895
1995-01-01,534228.035
1995-04-01,536542.707
1995-07-01,541091.526
1995-10-01,544717.128
1996-01-01,543102.212
1996-04-01,539859.301
1996-07-01,529542.376
1996-10-01,528926.513
1997-01-01,533402.179
1997-04-01,536368.747
1997-07-01,542484.591
1997-10-01,564776.898
1998-01-01,584907.389
1998-04-01,580661.343
1998-07-01,625999.179
1998-10-01,677469.596
1999-01-01,678546.007
1999-04-01,666536.494
1999-07-01,668811.607
1999-10-01,676206.093
2000-01-01,680164.939
2000-04-01,663456.724
2000-07-01,657789.422
2000-10-01,683897.204
2001-01-01,706064.847
2001-04-01,716572.374
2001-07-01,766781.37
2001-10-01,810421.658
2002-01-01,814066.695
2002-04-01,855463.998
2002-07-01,901710.704
2002-10-01,912364.458
2003-01-01,980519.774
2003-04-01,1034760.169
2003-07-01,948042.794
2003-10-01,982078.197
2004-01-01,1103082.44
2004-04-01,1073555.763
2004-07-01,1048580.356
2004-10-01,1113891.305
2005-01-01,1142360.274
2005-04-01,1141222.228
2005-07-01,1138848.25
2005-10-01,1139680.877
2006-01-01,1188252.405
2006-04-01,1213816.988
2006-07-01,1208946.345
2006-10-01,1207090.281
2007-01-01,1226923.051
2007-04-01,1236257.587
2007-07-01,1217755.251
2007-10-01,1236004.201
2008-01-01,1281381.123
2008-04-01,1322213.13
2008-07-01,1257742.982
2008-10-01,1296812.099
2009-01-01,1313443.313
2009-04-01,1365406.724
2009-07-01,1350442.282
2009-10-01,1395211.457
2010-01-01,1386964.877
2010-04-01,1381840.077
2010-07-01,1440588.459
2010-10-01,1484630.681
2011-01-01,1519083.349
2011-04-01,1546183.931
2011-07-01,1600466.733
2011-10-01,1643211.493
2012-01-01,1735468.372
2012-04-01,1713685.4
2012-07-01,1732775.339
2012-10-01,1706171.946
2013-01-01,1698408.765
2013-04-01,1678438.84
2013-07-01,1668571.644
2013-10-01,1673885.565
2014-01-01,1690540.664
2014-04-01,1716672.635
2014-07-01,1718461.36
2014-10-01,1728607.312
2015-01-01,1773845.668
2015-04-01,1787493.565
2015-07-01,1818704.103
2015-10-01,1871680.994
2016-01-01,1895602.27
2016-04-01,1924316.991
2016-07-01,1979653.527
2016-10-01,2005021.674
2017-01-01,2034511.839
2017-04-01,2072554.368
2017-07-01,2117152.803
2017-10-01,2133347.983
2018-01-01,2113535.074
2018-04-01,2156743.787
2018-07-01,2157479.021
2018-10-01,2187127.008
2019-01-01,2217641.04
2019-04-01,2282676.916
2019-07-01,2369462.33
2019-10-01,2393831.3
2020-01-01,2546451.706
2020-04-01,2651812.764
2020-07-01,2798839.201
2020-10-01,3043762.438
2021-01-01,3264145.159
2021-04-01,3386815.923
2021-07-01,3488703.846
2021-10-01,3557067.966
2022-01-01,3522186.123
2022-04-01,3381676.005
2022-07-01,3202319.779
