date,value
2009-07-01,993.3234
2009-07-08,991.7974
2009-07-15,975.8433
2009-07-22,968.3251
2009-07-29,965.3066
2009-08-05,972.2273
2009-08-12,985.0753
2009-08-19,976.6347
2009-08-26,974.9083
2009-09-02,976.7855
2009-09-09,979.5794
2009-09-16,989.0015
2009-09-23,995.8985
2009-09-30,968.0677
2009-10-07,957.3018
2009-10-14,972.7486
2009-10-21,992.2305
2009-10-28,977.3739
2009-11-04,993.1584
2009-11-11,992.9895
2009-11-18,994.5083
2009-11-25,981.655
2009-12-02,982.6938
2009-12-09,988.5464
2009-12-16,1002.7218
2009-12-23,1007.566
2009-12-30,1011.5091
2010-01-06,1004.0431
2010-01-13,996.3614
2010-01-20,996.6301
2010-01-27,1002.8568
2010-02-03,1008.8763
2010-02-10,1010.0295
2010-02-17,1011.8506
2010-02-24,1005.366
2010-03-03,1010.8127
2010-03-10,1003.0343
2010-03-17,996.9481
2010-03-24,997.9127
2010-03-31,1002.1216
2010-04-07,995.7519
2010-04-14,1010.2144
2010-04-21,1015.0611
2010-04-28,1004.6457
2010-05-05,1009.9624
2010-05-12,1017.6289
2010-05-19,1014.0292
2010-05-26,1007.2907
2010-06-02,1006.8153
2010-06-09,1011.5321
2010-06-16,1006.3364
2010-06-23,1006.4135
2010-06-30,1004.955
2010-07-07,1010.6317
2010-07-14,1037.0153
2010-07-21,1064.448
2010-07-28,1056.2795
2010-08-04,1057.886
2010-08-11,1061.1476
2010-08-18,1054.005
2010-08-25,1048.7257
2010-09-01,1060.4379
2010-09-08,1056.3487
2010-09-15,1065.3852
2010-09-22,1071.0543
2010-09-29,1071.2591
2010-10-06,1085.8783
2010-10-13,1084.1847
2010-10-20,1088.6552
2010-10-27,1094.3013
2010-11-03,1109.5214
2010-11-10,1115.546
2010-11-17,1124.1665
2010-11-24,1120.7972
2010-12-01,1126.021
2010-12-08,1118.4721
2010-12-15,1102.752
2010-12-22,1110.8306
2010-12-29,1106.8959
2011-01-05,1112.3665
2011-01-12,1113.9959
2011-01-19,1114.8603
2011-01-26,1114.5093
2011-02-02,1101.1439
2011-02-09,1103.9292
2011-02-16,1107.5594
2011-02-23,1114.5758
2011-03-02,1108.774
2011-03-09,1114.4908
2011-03-16,1117.6466
2011-03-23,1118.3993
2011-03-30,1125.3362
2011-04-06,1128.7693
2011-04-13,1145.0816
2011-04-20,1146.9561
2011-04-27,1150.3108
2011-05-04,1160.9018
2011-05-11,1153.153
2011-05-18,1146.5584
2011-05-25,1152.9541
2011-06-01,1153.1795
2011-06-08,1159.8728
2011-06-15,1164.6563
2011-06-22,1156.8595
2011-06-29,1158.5234
2011-07-06,1164.0607
2011-07-13,1175.1168
2011-07-20,1169.3713
2011-07-27,1171.8365
2011-08-03,1176.4016
2011-08-10,1180.3845
2011-08-17,1186.314
2011-08-24,1192.3361
2011-08-31,1196.9327
2011-09-07,1198.7112
2011-09-14,1211.3224
2011-09-21,1211.7467
2011-09-28,1207.4986
2011-10-05,1212.5317
2011-10-12,1216.6576
2011-10-19,1224.5349
2011-10-26,1227.7775
2011-11-02,1234.4277
2011-11-09,1225.1451
2011-11-16,1227.5889
2011-11-23,1244.7796
2011-11-30,1248.8528
2011-12-07,1237.0811
2011-12-14,1254.1481
2011-12-21,1251.0875
2011-12-28,1255.3034
2012-01-04,1271.2772
2012-01-11,1279.0023
2012-01-18,1261.011
2012-01-25,1269.2317
2012-02-01,1279.9966
2012-02-08,1286.7721
2012-02-15,1296.2714
2012-02-22,1299.1177
2012-02-29,1308.4063
2012-03-07,1310.7876
2012-03-14,1316.7682
2012-03-21,1318.3047
2012-03-28,1318.6668
2012-04-04,1346.5173
2012-04-11,1346.205
2012-04-18,1328.9683
2012-04-25,1325.1707
2012-05-02,1328.6799
2012-05-09,1332.5012
2012-05-16,1333.4855
2012-05-23,1336.8199
2012-05-30,1336.0534
2012-06-06,1338.5461
2012-06-13,1333.3295
2012-06-20,1326.6983
2012-06-27,1328.4613
2012-07-04,1331.3029
2012-07-11,1335.9549
2012-07-18,1329.1784
2012-07-25,1329.6321
2012-08-01,1339.5873
2012-08-08,1338.0331
2012-08-15,1337.1867
2012-08-22,1344.0321
2012-08-29,1341.9711
2012-09-05,1344.9384
2012-09-12,1341.4879
2012-09-19,1336.9516
2012-09-26,1342.1688
2012-10-03,1341.2005
2012-10-10,1334.0753
2012-10-17,1324.7305
2012-10-24,1323.4187
2012-10-31,1322.1118
2012-11-07,1329.9166
2012-11-14,1338.7727
2012-11-21,1330.5209
2012-11-28,1327.6873
2012-12-05,1343.0383
2012-12-12,1347.6204
2012-12-19,1341.3379
2012-12-26,1344.4305
2013-01-02,1336.904
2013-01-09,1332.8256
2013-01-16,1336.7481
2013-01-23,1343.6359
2013-01-30,1345.8916
2013-02-06,1345.0027
2013-02-13,1344.4549
2013-02-20,1335.5057
2013-02-27,1333.4859
2013-03-06,1337.3552
2013-03-13,1338.9698
2013-03-20,1332.3091
2013-03-27,1333.773
2013-04-03,1364.3696
2013-04-10,1360.7122
2013-04-17,1362.0122
2013-04-24,1365.4861
2013-05-01,1366.2837
2013-05-08,1358.417
2013-05-15,1361.6648
2013-05-22,1363.5499
2013-05-29,1356.417
2013-06-05,1364.7262
2013-06-12,1358.3889
2013-06-19,1361.8931
2013-06-26,1353.1074
2013-07-03,1355.7406
2013-07-10,1348.276
2013-07-17,1349.4078
2013-07-24,1351.1166
2013-07-31,1348.4093
2013-08-07,1337.0956
2013-08-14,1341.2033
2013-08-21,1331.9037
2013-08-28,1330.8333
2013-09-04,1321.7429
2013-09-11,1323.2581
2013-09-18,1327.4147
2013-09-25,1327.4108
2013-10-02,1324.2814
2013-10-09,1323.0682
2013-10-16,1322.5578
2013-10-23,1321.5712
2013-10-30,1320.3641
2013-11-06,1327.0257
2013-11-13,1328.3802
2013-11-20,1327.2888
2013-11-27,1330.2805
2013-12-04,1323.18
2013-12-11,1327.5415
2013-12-18,1327.1975
2013-12-25,1324.8524
2014-01-01,1329.5946
2014-01-08,1329.6301
2014-01-15,1334.0806
2014-01-22,1334.6065
2014-01-29,1332.3961
2014-02-05,1342.8398
2014-02-12,1341.2361
2014-02-19,1340.4445
2014-02-26,1344.9974
2014-03-05,1348.1972
2014-03-12,1350.5211
2014-03-19,1345.6383
2014-03-26,1349.3428
2014-04-02,1344.6466
2014-04-09,1346.3204
2014-04-16,1346.5247
2014-04-23,1343.9617
2014-04-30,1345.3824
2014-05-07,1340.4237
2014-05-14,1354.8797
2014-05-21,1352.4868
2014-05-28,1355.2057
2014-06-04,1352.8205
2014-06-11,1354.9445
2014-06-18,1355.7999
2014-06-25,1355.8195
2014-07-02,1361.3406
2014-07-09,1361.9266
2014-07-16,1362.1573
2014-07-23,1365.3706
2014-07-30,1366.1879
2014-08-06,1365.9901
2014-08-13,1367.6679
2014-08-20,1364.6371
2014-08-27,1364.4677
2014-09-03,1359.2348
2014-09-10,1366.917
2014-09-17,1373.6175
2014-09-24,1385.6303
2014-10-01,1386.5339
2014-10-08,1386.0847
2014-10-15,1391.3688
2014-10-22,1387.7048
2014-10-29,1383.3397
2014-11-05,1385.9542
2014-11-12,1389.1489
2014-11-19,1385.9214
2014-11-26,1390.8089
2014-12-03,1391.7209
2014-12-10,1398.3476
2014-12-17,1399.917
2014-12-24,1402.6377
2014-12-31,1405.7998
2015-01-07,1413.1814
2015-01-14,1417.7334
2015-01-21,1417.4717
2015-01-28,1418.8403
2015-02-04,1426.4573
2015-02-11,1435.8735
2015-02-18,1440.49
2015-02-25,1447.8154
2015-03-04,1456.2733
2015-03-11,1456.5749
2015-03-18,1457.949
2015-03-25,1462.3738
2015-04-01,1466.9883
2015-04-08,1460.8169
2015-04-15,1459.9109
2015-04-22,1466.431
2015-04-29,1468.9376
2015-05-06,1478.2217
2015-05-13,1477.8004
2015-05-20,1479.9906
2015-05-27,1484.0041
2015-06-03,1486.1438
2015-06-10,1488.8651
2015-06-17,1493.1541
2015-06-24,1493.2075
2015-07-01,1490.9628
2015-07-08,1488.6583
2015-07-15,1495.5189
2015-07-22,1494.1319
2015-07-29,1495.233
2015-08-05,1505.4533
2015-08-12,1510.3477
2015-08-19,1518.1914
2015-08-26,1517.3312
2015-09-02,1517.5185
